time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_dop,OGM_pop,PHS_frp_ads,OGM_pon,OXY_oxy
2013-08-14,0.014060613,26.6275,0,3.76940133,6.290322581,0.101083063,322.2204859,32.22204859,3.179588608,0.091055861,0.718419682,0.101083063,18.55657356,235.5797089
2013-08-15,0.012246968,26.42125,0,1.77383592,5,0.094765371,322.0556672,32.20556672,3.17744123,0.101130126,0.815405762,0.094765371,21.82313515,236.4646552
2013-08-16,0.012246968,26.215,0,2.36511456,5,0.093712423,321.8908485,32.18908485,3.175293852,0.098773006,0.795244632,0.093712423,21.21253011,237.3552993
2013-08-17,0.022462225,26.00875,0,2.9563932,5,0.092659474,321.7260299,32.17260299,3.173146474,0.096415886,0.775083503,0.092659474,20.60192506,238.2517051
2013-08-18,0.023480483,25.8025,0,3.54767184,5,0.091606526,321.5612112,32.15612112,3.170999096,0.094058767,0.754922373,0.091606526,19.99132002,239.1539369
2013-08-19,0.015700051,25.59625,0,4.13895048,5,0.090553577,321.3963925,32.13963925,3.168851718,0.091701647,0.734761244,0.090553577,19.38071498,240.0620601
2013-08-20,0.014681793,25.39,0,4.73022912,5,0.089500629,321.2315739,32.12315739,3.16670434,0.089344527,0.714600114,0.089500629,18.77010994,240.9761406
2013-08-21,0.013952706,25.18375,0,5.321507761,5,0.08844768,321.0667552,32.10667552,3.164556962,0.086987407,0.694438984,0.08844768,18.1595049,241.8962451
2013-08-22,0.014103496,24.9775,0,5.115616091,5.103686636,0.090252735,320.9019365,32.09019366,3.162409584,0.086682965,0.689893951,0.090252735,18.24238353,242.8224409
2013-08-23,0.012897898,24.77125,0,4.909724422,5.207373272,0.092057789,320.7371179,32.07371179,3.160262206,0.086378523,0.685348918,0.092057789,18.32526216,243.7547964
2013-08-24,0.012747108,24.565,0,4.703832753,5.311059908,0.093862844,320.5722992,32.05722992,3.158114828,0.086074081,0.680803884,0.093862844,18.40814079,244.6933803
2013-08-25,0.012246968,24.35875,0,4.497941083,5.414746544,0.095667899,320.4074805,32.04074806,3.15596745,0.085769639,0.676258851,0.095667899,18.49101943,245.6382624
2013-08-26,0.012246968,24.1525,0,4.292049414,5.51843318,0.097472954,320.2426619,32.02426619,3.153820072,0.085465197,0.671713817,0.097472954,18.57389806,246.5895132
2013-08-27,0.012246968,23.94625,0,4.086157745,5.622119816,0.099278008,320.0778432,32.00778432,3.151672694,0.085160755,0.667168784,0.099278008,18.65677669,247.5472039
2013-08-28,0.012953318,23.74,0,3.880266075,5.725806452,0.101083063,319.9130246,31.99130246,3.149525316,0.084856313,0.66262375,0.101083063,18.73965532,248.5114065
2013-08-29,0.013934771,23.57761905,0,3.674374406,5.829493088,0.102888118,319.7482059,31.97482059,3.147377939,0.08455187,0.658078717,0.102888118,18.82253395,249.275154
2013-08-30,0.01322842,23.4152381,0,3.468482737,5.933179724,0.104693172,319.5833872,31.95833873,3.145230561,0.084247428,0.653533683,0.104693172,18.90541258,250.0430189
2013-08-31,0.014303798,23.25285714,0,3.262591067,6.036866359,0.106498227,319.4185686,31.94185686,3.143083183,0.083942986,0.64898865,0.106498227,18.98829122,250.8150375
2013-09-01,0.01441842,23.09047619,0,3.056699398,6.140552995,0.108303282,319.2537499,31.92537499,3.140935805,0.083638544,0.644443616,0.108303282,19.07116985,251.5912463
2013-09-02,0.012361591,22.92809524,0,2.850807729,6.244239631,0.110108336,319.0889313,31.90889313,3.138788427,0.083334102,0.639898583,0.110108336,19.15404848,252.3716821
2013-09-03,0.012246968,22.76571429,0,2.64491606,6.347926267,0.111913391,318.9241127,31.89241126,3.136641049,0.08302966,0.635353549,0.111913391,19.23692711,253.1563821
2013-09-04,0.012274768,22.60333333,0,2.43902439,6.451612903,0.113718446,318.759294,31.87592939,3.134493671,0.082725218,0.630808516,0.113718446,19.31980574,253.9453839
2013-09-05,0.012274768,22.44095238,0,2.312321825,5.829493088,0.110108336,318.5944753,31.85944753,3.132346293,0.089921122,0.69918176,0.110108336,20.04930172,254.7387252
2013-09-06,0.012246968,22.27857143,0,2.185619259,5.207373272,0.106498227,318.4296567,31.84296566,3.130198915,0.097117026,0.767555004,0.106498227,20.7787977,255.5364443
2013-09-07,0.012246968,22.11619048,0,2.058916693,4.585253456,0.102888118,318.264838,31.8264838,3.128051537,0.10431293,0.835928248,0.102888118,21.50829368,256.3385797
2013-09-08,0.012246968,21.95380952,0,1.932214127,3.963133641,0.099278008,318.1000193,31.81000193,3.125904159,0.111508833,0.904301493,0.099278008,22.23778966,257.1451702
2013-09-09,0.012246968,21.79142857,0,1.805511562,3.341013825,0.095667899,317.9352007,31.79352006,3.123756781,0.118704737,0.972674737,0.095667899,22.96728564,257.9562549
2013-09-10,0.012402731,21.62904762,0,1.678808996,2.718894009,0.092057789,317.770382,31.7770382,3.121609403,0.125900641,1.041047981,0.092057789,23.69678162,258.7718735
2013-09-11,0.012815746,21.46666667,0,1.55210643,2.096774194,0.08844768,317.6055633,31.76055633,3.119462025,0.133096545,1.109421225,0.08844768,24.4262776,259.5920659
2013-09-12,0.012713023,21.30428571,0,1.55210643,2.004608295,0.084837571,317.4407447,31.74407446,3.117314647,0.125374787,1.043535509,0.084837571,24.4991171,260.4168722
2013-09-13,0.012299968,21.14190476,0,1.55210643,1.912442396,0.081227461,317.275926,31.7275926,3.115167269,0.117653028,0.977649793,0.081227461,24.5719566,261.246333
2013-09-14,0.012246968,20.97952381,0,1.55210643,1.820276498,0.077617352,317.1111073,31.71111073,3.113019892,0.10993127,0.911764077,0.077617352,24.6447961,262.0804894
2013-09-15,0.012246968,20.81714286,0,1.55210643,1.728110599,0.074007242,316.9462887,31.69462886,3.110872514,0.102209512,0.845878361,0.074007242,24.71763559,262.9193826
2013-09-16,0.012250748,20.6547619,0,1.55210643,1.6359447,0.070397133,316.78147,31.678147,3.108725136,0.094487753,0.779992645,0.070397133,24.79047509,263.7630543
2013-09-17,0.012250748,20.49238095,0,1.55210643,1.543778802,0.066787024,316.6166513,31.66166513,3.106577758,0.086765995,0.714106929,0.066787024,24.86331459,264.6115466
2013-09-18,0.012246968,20.33,0,1.55210643,1.451612903,0.063176914,316.4518327,31.64518327,3.10443038,0.079044236,0.648221213,0.063176914,24.93615408,265.4649019
2013-09-19,0.012246968,20.21142857,0,1.662971175,1.491935484,0.063176914,316.287014,31.6287014,3.102283002,0.080677153,0.662917463,0.063176914,24.76564036,266.091123
2013-09-20,0.018195991,20.09285714,0,1.77383592,1.532258065,0.063176914,316.1221953,31.61221953,3.100135624,0.08231007,0.677613713,0.063176914,24.59512663,266.7199766
2013-09-21,0.022812298,19.97428571,0,1.884700665,1.572580645,0.063176914,315.9573767,31.59573767,3.097988246,0.083942986,0.692309962,0.063176914,24.4246129,267.3514798
2013-09-22,0.016867653,19.85571429,0,1.99556541,1.612903226,0.063176914,315.792558,31.5792558,3.095840868,0.085575903,0.707006212,0.063176914,24.25409918,267.9856494
2013-09-23,0.012251348,19.73714286,0,2.106430155,1.653225806,0.063176914,315.6277393,31.56277393,3.09369349,0.08720882,0.721702462,0.063176914,24.08358545,268.6225025
2013-09-24,0.012246968,19.61857143,0,2.2172949,1.693548387,0.063176914,315.4629207,31.54629207,3.091546112,0.088841736,0.736398712,0.063176914,23.91307172,269.2620566
2013-09-25,0.012343668,19.5,0,2.328159645,1.733870968,0.063176914,315.298102,31.5298102,3.089398734,0.090474653,0.751094962,0.063176914,23.74255799,269.9043288
2013-09-26,0.012343668,19.40809524,0,2.43902439,1.774193548,0.063176914,315.1332833,31.51332834,3.087251356,0.090332166,0.749812578,0.063176914,23.57204427,270.4040352
2013-09-27,0.012247011,19.31619048,0,2.549889135,1.814516129,0.063176914,314.9684647,31.49684647,3.085103978,0.090189679,0.748530194,0.063176914,23.40153054,270.9053934
2013-09-28,0.012246968,19.22428571,0,2.66075388,1.85483871,0.063176914,314.803646,31.4803646,3.0829566,0.090047192,0.74724781,0.063176914,23.23101681,271.4084115
2013-09-29,0.012246968,19.13238095,0,2.842168918,1.825513196,0.063176914,314.6388273,31.46388274,3.080809222,0.089904704,0.745965426,0.063176914,23.05960089,271.9130977
2013-09-30,0.012246968,19.04047619,0,3.023583955,1.796187683,0.063176914,314.4740087,31.44740087,3.078661844,0.089762217,0.744683042,0.063176914,22.88818496,272.4194605
2013-10-01,0.012246968,18.94857143,0,3.204998992,1.76686217,0.063176914,314.30919,31.430919,3.076514467,0.08961973,0.743400658,0.063176914,22.71676904,272.927508
2013-10-02,0.012246968,18.85666667,0,3.386414029,1.737536657,0.063176914,314.1443714,31.41443714,3.074367089,0.089477243,0.742118274,0.063176914,22.54535311,273.4372487
